OBJECTID,ID,SYSTEM,SYSTEM_URL,SYS_AGENCY,NTDID,RTE_NAME,RTE_URL,RTE_ID,MODE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,RTE_ID_SYS,Shape__Length
1,5027001,Metro Transit,http://www.metrotransit.org/,METRO TRANSIT,5027,Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls,http://www.metrotransit.org/route/888,888-78,CR,"MINNEAPOLIS-ST. PAUL, MN-WI",16,OPEN,ftp://gisftp.metc.state.mn.us/,2015-11-26T00:00:00.000Z,888-78 - Metro Transit,0.689335142995548
2,5027002,Metro Transit,http://www.metrotransit.org/,METRO TRANSIT,5027,METRO Blue Line,http://www.metrotransit.org/route/901,901-78,LR,"MINNEAPOLIS-ST. PAUL, MN-WI",16,OPEN,ftp://gisftp.metc.state.mn.us/,2015-11-26T00:00:00.000Z,901-78 - Metro Transit,0.205410968162937
3,5027003,Metro Transit,http://www.metrotransit.org/,METRO TRANSIT,5027,METRO Green Line,http://www.metrotransit.org/route/902,902-78,LR,"MINNEAPOLIS-ST. PAUL, MN-WI",16,OPEN,ftp://gisftp.metc.state.mn.us/,2015-11-26T00:00:00.000Z,902-78 - Metro Transit,0.212266702315687
4,9154001,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Blue Line  (801),http://www.metro.net/around/rail/blue-line/,801,LR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015-11-16T00:00:00.000Z,801 - LACMTA,0.322966145472922
5,9154002,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Red Line  (802),http://www.metro.net/around/rail/red-line/,802,HR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015-11-16T00:00:00.000Z,802 - LACMTA,0.23542588704276
6,9154003,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Green Line  (803),http://www.metro.net/around/rail/green-line/,803,LR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015-11-16T00:00:00.000Z,803 - LACMTA,0.331749966527923
7,9154004,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Gold Line  (804),http://www.metro.net/around/rail/gold-line/,804,LR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,https://gitlab.com/LACMTA/gtfs_rail,2016-06-04T00:00:00.000Z,804 - LACMTA,0.51399468119712
8,9154005,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Purple Line  (805),http://www.metro.net/around/rail/purple-line/,805,HR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015-11-16T00:00:00.000Z,805 - LACMTA,0.08522805607099
9,9154006,LACMTA,https://www.metro.net/,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,Metro Expo Line  (806),http://www.metro.net/around/rail/expo-line/,806,LR,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,https://gitlab.com/LACMTA/gtfs_rail,2016-06-04T00:00:00.000Z,806 - LACMTA,0.257153591788526
10,4022001,MARTA,http://www.itsmarta.com/,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,4022,GOLD-Northeast Doraville Line,http://itsmarta.com/Gold-Line.aspx,8746,HR,"ATLANTA, GA",9,OPEN,http://www.itsmarta.com/developers/data-sources/general-transit-feed-specification-gtfs.aspx,2015-11-09T00:00:00.000Z,8746 - MARTA,0.34455496971622
11,4022002,MARTA,http://www.itsmarta.com/,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,4022,RED-North South North Springs Line,http://itsmarta.com/Red-Line.aspx,8747,HR,"ATLANTA, GA",9,OPEN,http://www.itsmarta.com/developers/data-sources/general-transit-feed-specification-gtfs.aspx,2015-11-09T00:00:00.000Z,8747 - MARTA,0.365672464417147
12,4022003,MARTA,http://www.itsmarta.com/,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,4022,GREEN-Proctor Creek Line,http://itsmarta.com/Green-Line.aspx,8748,HR,"ATLANTA, GA",9,OPEN,http://www.itsmarta.com/developers/data-sources/general-transit-feed-specification-gtfs.aspx,2015-11-09T00:00:00.000Z,8748 - MARTA,0.103912811437745
13,4022004,MARTA,http://www.itsmarta.com/,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,4022,BLUE-East/West Line,http://itsmarta.com/Blue-Line.aspx,8766,HR,"ATLANTA, GA",9,OPEN,http://www.itsmarta.com/developers/data-sources/general-transit-feed-specification-gtfs.aspx,2015-11-09T00:00:00.000Z,8766 - MARTA,0.256229654949846
14,4232001,SunRail,http://sunrail.com/,CENTRAL FLORIDA COMMUTER RAIL,4232,SunRail,http://sunrail.com/schedules/,1,CR,"ORLANDO, FL",32,OPEN,http://corporate.sunrail.com/about-sunrail/gtfs-data-download/,2016-10-27T00:00:00.000Z,1 - SunRail,0.472053958509311
15,6056001,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,DART LIGHT RAIL - BLUE LINE,http://www.dart.org/riding/dartrailblueline.asp,17294,LR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17294 - DART,0.457805054558131
16,6056002,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,DART LIGHT RAIL - GREEN LINE,http://www.dart.org/riding/dartrailgreenline.asp,17295,LR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17295 - DART,0.442584371971339
17,6056003,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,DART LIGHT RAIL - ORANGE LINE,http://www.dart.org/riding/dartrailorangeline.asp,17296,LR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17296 - DART,0.629261107887003
18,6056004,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,DART LIGHT RAIL - RED LINE,http://www.dart.org/riding/dartrailredline.asp,17297,LR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17297 - DART,0.42502991448562
19,6056005,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,DALLAS STREETCAR,http://www.dart.org/riding/dallasstreetcar.asp,17298,SR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2016-12-05T00:00:00.000Z,17298 - DART,0.035175622433102
20,6056006,DART,http://www.dart.org/,DALLAS AREA RAPID TRANSIT,6056,TRINITY RAILWAY,http://www.trinityrailwayexpress.org/eastboundweekday.html,17299,CR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17299 - DART,0.566349180486583
21,6056007,DART,http://mata.org/,DALLAS AREA RAPID TRANSIT,6056,MCKINNEY AVENUE TROLLEY,http://www.dart.org/riding/mline.asp,17864,SR,"DALLAS-FORT WORTH-ARLINGTON, TX",6,OPEN,http://www.dart.org/transitdata/,2015-11-04T00:00:00.000Z,17864 - DART,0.05873909144493
22,2098001,PATH,http://www.panynj.gov/path/,PORT AUTHORITY TRANS-HUDSON CORPORATION,2098,Hoboken - 33rd Street,http://www.panynj.gov/path/pdf/path-map-schedule.pdf,859,HR,"NEW YORK-NEWARK, NY-NJ-CT",1,OPEN,http://data.trilliumtransit.com/gtfs/path-nj-us/,2015-06-18T00:00:00.000Z,859 - PATH,0.05223523287248
23,2098002,PATH,http://www.panynj.gov/path/,PORT AUTHORITY TRANS-HUDSON CORPORATION,2098,Hoboken - World Trade Center,http://www.panynj.gov/path/pdf/path-map-schedule.pdf,860,HR,"NEW YORK-NEWARK, NY-NJ-CT",1,OPEN,http://data.trilliumtransit.com/gtfs/path-nj-us/,2015-06-18T00:00:00.000Z,860 - PATH,0.044910635510412
24,2098003,PATH,http://www.panynj.gov/path/,PORT AUTHORITY TRANS-HUDSON CORPORATION,2098,Journal Square - 33rd Street (via Hoboken),http://www.panynj.gov/path/pdf/path-map-schedule.pdf,1024,HR,"NEW YORK-NEWARK, NY-NJ-CT",1,OPEN,http://data.trilliumtransit.com/gtfs/path-nj-us/,2015-06-18T00:00:00.000Z,1024 - PATH,0.104113866204039
25,2098004,PATH,http://www.panynj.gov/path/,PORT AUTHORITY TRANS-HUDSON CORPORATION,2098,Journal Square - 33rd Street,http://www.panynj.gov/path/pdf/path-map-schedule.pdf,861,HR,"NEW YORK-NEWARK, NY-NJ-CT",1,OPEN,http://data.trilliumtransit.com/gtfs/path-nj-us/,2015-06-18T00:00:00.000Z,861 - PATH,0.100434766918402
26,2098005,PATH,http://www.panynj.gov/path/,PORT AUTHORITY TRANS-HUDSON CORPORATION,2098,Newark - World Trade Center,http://www.panynj.gov/path/pdf/path-map-schedule.pdf,862,HR,"NEW YORK-NEWARK, NY-NJ-CT",1,OPEN,http://data.trilliumtransit.com/gtfs/path-nj-us/,2015-06-18T00:00:00.000Z,862 - PATH,0.161285561484318
27,4159001,RTA,http://rtarelaxandride.com/,REGIONAL TRANSPORTATION AUTHORITY OF MIDDLE TENNESSEE,4159,Music City Star Commuter Rail,http://rtarelaxandride.com/Middle-TN-RTA-schedules.asp,90,CR,"NASHVILLE-DAVIDSON, TN",44,OPEN,http://www.nashvillemta.org/Nashville-MTA-Developer-Data-Request.asp,2015-09-28T00:00:00.000Z,90 - RTA,0.533773158366861
28,8006001,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,30th & Downing Station to Littleton-Mineral Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,101D,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,101D - RTD,0.222147040273369
29,8006002,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,18th & California Station to Florida Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,101H,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,101H - RTD,0.301002455076362
30,8006003,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,18th & California Station to Lincoln Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,101F,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,101F - RTD,0.276495963788255
31,8006004,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,Union Station to Littleton-Mineral Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,101C,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,101C - RTD,0.196800681942279
32,8006005,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,Union Station to Lincoln Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,101E,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,101E - RTD,0.2829825133755
33,8006006,RTD,http://www.rtd-denver.com/,DENVER REGIONAL TRANSPORTATION DISTRICT,8006,Union Station to Jefferson County Government Center-Golden Station,http://www.rtd-denver.com/Schedules.shtml#lightrail ,103W,LR,"DENVER-AURORA, CO",18,OPEN,http://www.rtd-denver.com/GoogleFeeder/,2017-02-21T00:00:00.000Z,103W - RTD,0.239501395204385
34,1001,King County Metro,http://metro.kingcounty.gov/,KING COUNTY DEPARTMENT OF TRANSPORTATION - METRO TRANSIT DIVISION,0001,South Lake Union Streetcar,http://www.seattlestreetcar.org/slu.htm,100340,SR,"SEATTLE, WA",14,OPEN,http://metro.kingcounty.gov/GTFS/,2015-11-19T00:00:00.000Z,100340 - King County Metro,0.026816806984959
35,1002,King County Metro,http://metro.kingcounty.gov/,KING COUNTY DEPARTMENT OF TRANSPORTATION - METRO TRANSIT DIVISION,0001,LINK to Sea-Tac,https://www.soundtransit.org/Rider-Guide/link-light-rail,100479,LR,"SEATTLE, WA",14,OPEN,http://metro.kingcounty.gov/GTFS/,2015-11-19T00:00:00.000Z,100479 - King County Metro,0.331317758994393
36,8001001,UTA,http://www.rideuta.com/,UTAH TRANSIT AUTHORITY,8001,BLUE LINE,http://www.rideuta.com/Rider-Tools/Schedules-and-Maps/701-Blue-Line,59307,LR,"SALT LAKE CITY-WEST VALLEY CITY, UT",42,OPEN,http://developer.rideuta.com/DeveloperResources/developer.aspx,2015-08-12T00:00:00.000Z,59307 - UTA,0.288954061196775
37,8001002,UTA,http://www.rideuta.com/,UTAH TRANSIT AUTHORITY,8001,RED LINE,http://www.rideuta.com/Rider-Tools/Schedules-and-Maps/703-Red-Line,59308,LR,"SALT LAKE CITY-WEST VALLEY CITY, UT",42,OPEN,http://developer.rideuta.com/DeveloperResources/developer.aspx,2015-08-12T00:00:00.000Z,59308 - UTA,0.383492629490788
38,8001003,UTA,http://www.rideuta.com/,UTAH TRANSIT AUTHORITY,8001,GREEN LINE,http://www.rideuta.com/Rider-Tools/Schedules-and-Maps/704-Green-Line,59309,LR,"SALT LAKE CITY-WEST VALLEY CITY, UT",42,OPEN,http://developer.rideuta.com/DeveloperResources/developer.aspx,2015-08-12T00:00:00.000Z,59309 - UTA,0.253348771963138
39,8001004,UTA,http://www.rideuta.com/,UTAH TRANSIT AUTHORITY,8001,S-LINE,http://www.rideuta.com/Rider-Tools/Schedules-and-Maps/720-S-Line,59312,SR,"SALT LAKE CITY-WEST VALLEY CITY, UT",42,OPEN,http://developer.rideuta.com/DeveloperResources/developer.aspx,2015-08-12T00:00:00.000Z,59312 - UTA,0.036240209194542
40,8001005,UTA,http://www.rideuta.com/,UTAH TRANSIT AUTHORITY,8001,FRONTRUNNER,http://www.rideuta.com/Rider-Tools/Schedules-and-Maps/750-FrontRunner,59313,CR,"SALT LAKE CITY-WEST VALLEY CITY, UT",42,OPEN,http://developer.rideuta.com/DeveloperResources/developer.aspx,2015-08-12T00:00:00.000Z,59313 - UTA,1.36576918166406
41,9003001,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Pittsburg/Bay Point - SFIA/Millbrae,http://www.bart.gov/schedules/bylineresults?route=1,01,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2015-09-14T00:00:00.000Z,01 - BART,0.881285819164552
42,9003002,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Warm Spings/South Fremont - Richmond,http://www.bart.gov/schedules/bylineresults?route=3,03,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2017-03-25T00:00:00.000Z,03 - BART,0.655490798009831
43,9003003,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Warm Spings/South Fremont - Daly City,http://www.bart.gov/schedules/bylineresults?route=5,05,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2017-03-25T00:00:00.000Z,05 - BART,0.714916286574662
44,9003004,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Richmond - Daly City/Millbrae,http://www.bart.gov/schedules/bylineresults?route=7,07,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2015-09-14T00:00:00.000Z,07 - BART,0.592334391520849
45,9003005,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Dublin/Pleasanton - Daly City,http://www.bart.gov/schedules/bylineresults?route=11,11,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2015-09-14T00:00:00.000Z,11 - BART,0.670224464772706
46,9003006,BART,http://www.bart.gov/,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,9003,Coliseum - Oakland Int'l Airport,http://www.bart.gov/schedules/bylineresults?route=19,19,HR,"SAN FRANCISCO-OAKLAND, CA",13,OPEN,http://www.bart.gov/schedules/developers/gtfs,2015-09-14T00:00:00.000Z,19 - BART,0.049757476673192
47,6008001,METRO,http://www.ridemetro.org/Pages/index.aspx,"METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY, TEXAS",6008,SUPERBOWL RED LINE,http://www.ridemetro.org/Pages/RedLine.aspx,31734,LR,"HOUSTON, TX",7,OPEN,http://www.ridemetro.org/Pages/NewsDownloads.aspx,2017-01-13T00:00:00.000Z,31734 - METRO,0.187206083272055
48,6008002,METRO,http://www.ridemetro.org/Pages/index.aspx,"METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY, TEXAS",6008,METRORAIL GREEN LINE,http://www.ridemetro.org/Pages/GreenLine.aspx,31727,LR,"HOUSTON, TX",7,OPEN,http://www.ridemetro.org/Pages/NewsDownloads.aspx,2017-01-13T00:00:00.000Z,31727 - METRO,0.084178272889137
49,6008003,METRO,http://www.ridemetro.org/Pages/index.aspx,"METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY, TEXAS",6008,METRORAIL PURPLE LINE,http://www.ridemetro.org/Pages/PurpleLine.aspx,31728,LR,"HOUSTON, TX",7,OPEN,http://www.ridemetro.org/Pages/NewsDownloads.aspx,2017-01-13T00:00:00.000Z,31728 - METRO,0.106864229541859
50,6032001,NORTA,http://www.norta.com/,NEW ORLEANS REGIONAL TRANSIT AUTHORITY,6032,Rampart-St. Claude Streetcar,http://www.norta.com/Maps-Schedules/Overview,9669,SR,"NEW ORLEANS, LA",49,OPEN,http://www.norta.com/Rider-Tools/ETA_and_Real-Time.aspx,2016-09-29T00:00:00.000Z,9669 - NORTA,0.03438165817424
51,6032002,NORTA,http://www.norta.com/,NEW ORLEANS REGIONAL TRANSIT AUTHORITY,6032,Riverfront Streetcar,http://www.norta.com/Maps-Schedules/Overview,9670,SR,"NEW ORLEANS, LA",49,OPEN,http://www.norta.com/Rider-Tools/ETA_and_Real-Time.aspx,2015-09-25T00:00:00.000Z,9670 - NORTA,0.02203654960331
52,6032003,NORTA,http://www.norta.com/,NEW ORLEANS REGIONAL TRANSIT AUTHORITY,6032,Canal Streetcar - Cemeteries,http://www.norta.com/getattachment/Getting-Around/Cemeteries-Transit-Center-Project/NORTA-DetourStreetcars-063017.pdf.aspx?lang=en-US,9671,SR,"NEW ORLEANS, LA",49,CLOSED,http://www.norta.com/Rider-Tools/ETA_and_Real-Time.aspx,2015-09-25T00:00:00.000Z,9671 - NORTA,0.056403192070205
53,6032004,NORTA,http://www.norta.com/,NEW ORLEANS REGIONAL TRANSIT AUTHORITY,6032,Canal Streetcar - City Park/Museum,http://www.norta.com/Maps-Schedules/Overview,9672,SR,"NEW ORLEANS, LA",49,OPEN,http://www.norta.com/Rider-Tools/ETA_and_Real-Time.aspx,2015-09-25T00:00:00.000Z,9672 - NORTA,0.057747196154888
54,6032005,NORTA,http://www.norta.com/,NEW ORLEANS REGIONAL TRANSIT AUTHORITY,6032,St. Charles Streetcar,http://www.norta.com/Maps-Schedules/Overview,9673,SR,"NEW ORLEANS, LA",49,OPEN,http://www.norta.com/Rider-Tools/ETA_and_Real-Time.aspx,2015-09-25T00:00:00.000Z,9673 - NORTA,0.114728366707649
55,4034001,MDT,http://www.miamidade.gov/transit/,MIAMI-DADE TRANSIT,4034,METROMOVER OMNI/BRICKELL OUTER LOOP,http://www.miamidade.gov/transit/metromover.asp,14456,MG,"MIAMI, FL",4,OPEN,http://www.miamidade.gov/transit/open-data-feeds.asp,2015-12-04T00:00:00.000Z,14456 - MDT,0.066264947061623
56,4034002,MDT,http://www.miamidade.gov/transit/,MIAMI-DADE TRANSIT,4034,METROMOVER INNER LOOP,http://www.miamidade.gov/transit/metromover.asp,14457,MG,"MIAMI, FL",4,OPEN,http://www.miamidade.gov/transit/open-data-feeds.asp,2015-12-04T00:00:00.000Z,14457 - MDT,0.030238588617788
57,4034003,MDT,http://www.miamidade.gov/transit/,MIAMI-DADE TRANSIT,4034,MIA_PEOPLE MOVER,http://www.miami-airport.com/public-transportation.asp,14458,MG,"MIAMI, FL",4,OPEN,http://www.miamidade.gov/transit/open-data-feeds.asp,2015-12-04T00:00:00.000Z,14458 - MDT,0.019870525851586
58,4034004,MDT,http://www.miamidade.gov/transit/,MIAMI-DADE TRANSIT,4034,REGULAR METRORAIL SCHEDULE ORANGE LINE,http://www.miamidade.gov/transit/miami-international-airport-station.asp#10,16910OL,HR,"MIAMI, FL",4,OPEN,http://www.miamidade.gov/transit/open-data-feeds.asp,2015-12-04T00:00:00.000Z,16910OL - MDT,0.263013849418199
59,4034005,MDT,http://www.miamidade.gov/transit/,MIAMI-DADE TRANSIT,4034,REGULAR METRORAIL SCHEDULE GREEN LINE,http://www.miamidade.gov/transit/miami-international-airport-station.asp#9,16910GL,HR,"MIAMI, FL",4,OPEN,http://www.miamidade.gov/transit/open-data-feeds.asp,2015-12-04T00:00:00.000Z,16910GL - MDT,0.348294703110445
60,3073001,VRE,http://vre.org/,VIRGINIA RAILWAY EXPRESS,3073,Fredericksburg Line,http://vre.org/service/schedule/#sched-fred-nb,2,CR,"WASHINGTON, DC-VA-MD",8,OPEN,http://www.vre.org/gtfs/google_transit.zip,2015-12-15T00:00:00.000Z,2 - VRE,0.949803102692094
61,3073002,VRE,http://vre.org/,VIRGINIA RAILWAY EXPRESS,3073,Manassas Line,http://vre.org/service/schedule/#sched-mana-nb,4,CR,"WASHINGTON, DC-VA-MD",8,OPEN,http://www.vre.org/gtfs/google_transit.zip,2015-12-15T00:00:00.000Z,4 - VRE,0.625091377995191
62,6033001,CATA,http://www.rrmetro.org/,CENTRAL ARKANSAS TRANSIT AUTHORITY,6033,Little Rock Loop,https://rrmetro.org/streetcar-schedules/green-line/,5100,SR,"LITTLE ROCK, AR",88,OPEN,http://metroplan.org,2014-12-09T00:00:00.000Z,5100 - CATA,0.035292629390357
63,6033002,CATA,http://www.rrmetro.org/,CENTRAL ARKANSAS TRANSIT AUTHORITY,6033,North Little Rock - Presidential Library,https://rrmetro.org/streetcar-schedules/blue-line/,5200,SR,"LITTLE ROCK, AR",88,OPEN,http://metroplan.org,2014-12-09T00:00:00.000Z,5200 - CATA,0.054244467611421
64,9019001,SRTD,http://www.sacrt.com/,SACRAMENTO REGIONAL TRANSIT DISTRICT,9019,13th - Richards/Township 9,http://www.sacrt.com/schedules/current/routes/R519.htm,519,LR,"SACRAMENTO, CA",28,OPEN,http://iportal.sacrt.com/GTFS/SRTD/,2015-12-09T00:00:00.000Z,519 - SRTD,0.045107322575732
